anime_id;Name;Rating;Type;Genre;Studios;Producers;Licensors;Voice_Actors
6573;Darker than Black: Ryuusei no Gemini;7.49;TV;['Action', 'Sci-Fi', 'Mystery', 'Super Power'];['Bones'];['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create'];['Funimation'];['Kiuchi, Hidenobu', 'Mizuki, Nana', 'Sawaki, Ikuya', 'Hanazawa, Kana', 'Asai, Kiyomi']
2171;Detective Conan Movie 11: Jolly Roger in the Deep Azure;7.49;Movie;['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen'];['TMS Entertainment'];['Big Bang'];[None];['Takayama, Minami', 'Yamazaki, Wakana', 'Matsui, Naoko']
25687;Digimon Adventure tri. 1: Saikai (Digimon Adventure tri. Reunion);7.49;Movie;['Action', 'Adventure', 'Comedy', 'Drama'];['Toei Animation'];['Bandai', 'Ai Addiction'];['Shout! Factory'];['Hanae, Natsuki', 'Enoki, Junya', 'Hosoya, Yoshimasa', 'Ichimichi, Mao', 'Sakamoto, Chika', 'Mimori, Suzuko', 'Tamura, Mutsumi', 'Yoshida, Hitomi', 'Tokumitsu, Yuka', 'Matsumoto, Miwa']
364;Gallery Fake;7.49;TV;['Mystery', 'Seinen'];['TMS Entertainment', 'Tokyo Kids', 'Minami Machi Bugyousho'];['TV Tokyo', 'Aniplex'];[None];['Morikawa, Toshiyuki', 'Kawasumi, Ayako']
37349;Goblin Slayer;7.49;TV;['Action', 'Adventure', 'Fantasy'];['White Fox'];['Sony Pictures Entertainment', 'Frontier Works', 'AT-X', 'SoftBank Creative', 'Bushiroad', 'Hakuhodo DY Music & Pictures', 'Good Smile Film', 'Artist Management Office'];['Funimation'];['Umehara, Yuuichirou', 'Ogura, Yui']
35321;Haikyuu!!: Tokushuu! Haru-kou Volley ni Kaketa Seishun;7.5;OVA;['School', 'Shounen', 'Sports'];['Production I.G'];[None];[None];['Murase, Ayumu', 'Ishikawa, Kaito']
13115;Hakuouki Reimeiroku;7.49;TV;['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei'];['Studio Deen'];[None];['Sentai Filmworks'];['Toriumi, Kousuke', 'Morikubo, Shoutarou', 'Miki, Shinichiro', 'Yusa, Kouji', 'Yoshino, Hiroyuki', 'Tsuboi, Tomohiro', 'Seki, Tomokazu', 'Nakata, Jouji']
40841;Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA;7.49;OVA;['Fantasy', 'Slice of Life'];['Ajia-Do'];[None];[None];['Iguchi, Yuka', None]
12679;Joshiraku;7.49;TV;['Slice of Life', 'Comedy', 'Shounen'];['J.C.Staff'];['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha', 'KlockWorx'];[None];['Gotou, Saori', 'Sakura, Ayane', 'Koiwai, Kotori', 'Yamamoto, Nozomi', 'Nanjou, Yoshino']
6553;Junjou Romantica Special;7.49;Special;['Comedy', 'Romance', 'Shounen Ai'];['Studio Deen'];['Kadokawa Shoten'];[None];[None, None]
